"id","name"
"00910","Nitrogen_metabolism"
"00010","Glycolysis"
"00020","TCA"
"00620"," Pyruvate_metabolism"
"00030","Pentose_phosphate_pathway"
"00190","Oxidative phosphorylation"
"00910","Nitrogen metabolism"
"00920","Sulfur metabolism"
"00061","Fatty acid biosynthesis"
"00071","Fatty acid degradation"
"00230","Purine metabolism"
"00240","Pyrimidine metabolism"
"00220","Arginine biosynthesis"
"00330","Arginine and proline metabolism"
"00380","Tryptophan metabolism"
"00250"," Alanine, aspartate and glutamate metabolism"
"00260"," Glycine, serine and threonine metabolism"
"00270"," Cysteine and methionine metabolism"
"00280"," Valine, leucine and isoleucine degradation"
"00290"," Valine, leucine and isoleucine biosynthesis"
"00300"," Lysine biosynthesis"
"00310"," Lysine degradation"
"00220"," Arginine biosynthesis"
"00330"," Arginine and proline metabolism"
"00340"," Histidine metabolism"
"00350"," Tyrosine metabolism"
"00360"," Phenylalanine metabolism"
"00380"," Tryptophan metabolism"
"00400"," Phenylalanine, tyrosine and tryptophan biosynthesis"
"02020","Two-component system"
"02030","Bacterial chemotaxis"
"02040"," Flagellar assembly"
"02010","ABC transporter"
"02026","biofilm formation"
